L2_Strength,Accuracy,F1_Weighted,Epochs,Train_Loss,Val_Loss,Overfitting_Gap
0.01,0.7,0.6853540213832505,100,1.0475003719329834,1.4359296560287476,-0.38842928409576416
0.1,0.6421052631578947,0.6110601663060742,100,1.2702786922454834,1.5810805559158325,-0.3108018636703491
0.001,0.6263157894736842,0.6109520707781816,100,0.9668245911598206,1.3295038938522339,-0.36267930269241333
0.0,0.6052631578947368,0.5909721438835137,100,0.8404456973075867,1.212428092956543,-0.3719823956489563
