Model,Type,Accuracy,F1_Weighted
Random Forest (n=200),Classical ML,0.7968421052631579,0.7846653836438728
Random Forest (n=100),Classical ML,0.7894736842105263,0.7752493007605286
Random Forest (n=50),Classical ML,0.7842105263157896,0.7719698750740549
MLP Improved,Deep Learning,0.7052631578947368,0.6957056378365833
MLP Simple,Deep Learning,0.5578947368421052,0.5318959547230995
