Learning_Rate,Accuracy,F1_Weighted,Epochs,Train_Loss,Val_Loss
0.001,0.6631578947368421,0.646537104842189,100,0.8256524205207825,1.1334830522537231
0.01,0.6105263157894737,0.5946049742273999,56,0.7852696180343628,1.2288470268249512
0.0001,0.4473684210526316,0.39169026663829043,100,1.8669075965881348,1.9469289779663086
0.1,0.2894736842105263,0.21049812030075185,23,2.5401012897491455,2.738128662109375
