Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Turkiye,-3.62,1.86,-0.26,-2.4,-3.47,-4.14,-5.59,-5.42,-5.12,-1.75,-5.74,-8.87,-4.75,-5.15,-3.42,-2.47,-2.55,-4.09,-1.87,1.97,-4.3,-0.76,-5.1,-3.57,-0.77
Poland,-5.98,-3.1,-2.78,-2.5,-5.97,-3.3,-4.65,-6.68,-6.75,-3.95,-5.17,-5.11,-4.11,-1.98,-2.97,-1.33,-1.07,-1.19,-1.97,-0.27,2.4,-1.3,-2.27,1.79,-0.04
Hungary,-8.83,-6.11,-6.45,-8.26,-9.08,-9.89,-7.29,-7.29,-7.27,-1.22,-0.19,0.43,1.08,2.99,0.75,2.12,4.4,1.72,0.34,-0.61,-0.85,-3.88,-8.28,0.35,2.27
Romania,-3.64,-5.52,-3.31,-5.73,-8.51,-8.67,-10.67,-13.7,-11.66,-4.73,-4.99,-4.82,-4.58,-1.14,-0.34,-0.64,-2.1,-3.19,-4.58,-4.84,-5.11,-7.18,-9.22,-6.97,-8.36
Argentina,-3.16,-1.41,8.97,6.38,1.95,2.65,2.79,2.1,1.5,2.18,-0.38,-1.01,-0.39,-2.38,-1.74,-2.96,-2.71,-4.84,-5.16,-0.78,0.7,1.36,-0.63,-3.21,0.9
Pakistan,-0.09,1.93,3.94,3.18,-0.62,-2.48,-4.17,-4.51,-7.74,-2.13,-0.69,-0.96,-0.94,-1.71,-1.35,-0.93,-2.29,-4.77,-5.3,-2.67,-0.22,-3.52,-3.26,-0.31,0.15
"Egypt, Arab Rep.",-0.97,-0.4,0.73,4.66,4.98,2.35,2.45,0.32,-0.87,-1.77,-2.06,-2.32,-2.5,-1.23,-1.95,-5.24,-6.16,-3.2,-2.93,-3.21,-3.71,-4.38,-2.21,-3.17,-5.72
Ghana,-7.75,-8.04,-1.71,1.33,-6.65,-10.28,-5.06,-9.58,-11.6,-7.28,-8.53,-9.0,-11.9,-9.08,-6.76,-5.71,-5.04,-3.32,-3.04,-2.73,-3.05,-2.82,-2.3,-0.81,2.03
Nigeria,10.74,3.37,1.14,3.24,12.4,20.79,15.31,9.94,8.59,4.7,3.57,2.57,3.74,3.66,0.16,-3.13,1.25,3.61,1.73,-2.88,-3.7,-0.74,0.21,1.77,9.17
Tunisia,-3.83,-3.81,-3.22,-2.66,-1.42,-0.93,-1.8,-2.36,-3.81,-2.84,-4.55,-7.04,-7.87,-7.97,-8.88,-8.57,-8.53,-10.01,-10.79,-8.05,-6.01,-5.88,-8.83,-2.3,-1.45
Ukraine,4.15,3.37,7.23,5.58,10.28,2.84,-1.45,-3.53,-6.79,-1.43,-2.14,-6.04,-7.85,-8.67,-3.44,5.53,-2.0,-3.1,-4.91,-2.68,3.36,-1.94,4.92,-5.28,-8.35
Sri Lanka,-6.39,-1.37,-1.43,-0.37,-3.13,-2.66,-5.3,-4.33,-9.54,-0.51,-1.83,-6.81,-5.69,-3.3,-2.41,-2.21,-1.98,-2.45,-2.96,-2.07,-1.41,-3.71,-1.95,1.86,-1.8
