Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Turkiye,-10.5,-16.1,-10.3,-8.8,-4.9,-1.3,-0.6,-1.6,-1.8,-5.5,-2.9,-0.8,-1.5,-1.2,-1.3,-1.0,-1.5,-1.8,-2.0,-2.9,-3.4,-2.7,-1.0,-5.4,
Poland,-24.31,-146.86,-218.51,-250.62,-248.23,-180.83,-149.7,-78.9,-142.4,-212.48,-179.84,-100.78,-71.13,-22.28,-6.47,-2.6,-2.4,-1.5,-0.2,-0.7,-7.0,-1.9,-3.7,-5.1,
Hungary,-145.98,-215.5,-401.21,-343.53,-280.84,-333.56,-369.76,-202.96,-150.02,-151.37,-96.18,27.96,-53.47,-30.6,-10.55,-2.0,-1.6,-2.0,-2.1,-2.0,-7.6,-7.2,-6.2,-6.7,
Romania,-4.7,-3.5,-2.0,-1.5,-1.2,-1.2,-2.2,-2.9,-5.7,-9.2,-6.8,-5.4,-3.7,-2.1,-1.3,-0.6,-2.6,-2.6,-2.9,-4.3,-9.2,-7.1,-6.2,-5.7,
Argentina,-2.4,-3.4,-234.95,-110.71,-17.53,1.3,1.7,1.4,0.8,-2.0,-0.6,-2.4,-2.6,-2.0,-3.9,-5.8,-5.9,-6.0,-5.4,-4.0,-8.5,-4.3,-3.0,-2.9,
Pakistan,-196.36,-180.17,-137.31,-138.6,-91.91,-144.04,-175.04,-166.32,-269.13,-158.2,-159.87,-173.16,-183.57,-88.57,-5.5,-5.3,-4.6,-5.8,-6.5,-9.0,-8.1,-7.1,-4.9,-7.8,
"Egypt, Arab Rep.",-3.5,-5.8,-6.1,-6.2,-6.9,-8.2,-7.6,-6.8,-6.8,-6.8,-8.1,-9.8,-10.8,-12.0,-11.5,-11.5,-12.5,-10.9,-9.7,-8.0,-7.9,-7.4,-6.1,-6.0,
Ghana,-8.5,-299.3,-230.97,-159.72,-73.39,-54.95,-176.67,-197.88,-209.77,-191.86,-194.37,-94.1,-11.8,-10.9,-10.4,-5.3,-9.3,-4.7,-7.0,-7.5,-15.2,-12.0,-11.2,-7.5,
Nigeria,-3.5,-3.8,-3.5,-43.81,-8.66,13.6,-21.93,-40.78,-27.03,-64.19,-41.1,-37.59,-2.3,-2.3,-2.1,-3.7,-4.6,-5.6,-4.2,-4.3,-5.4,-5.6,-6.1,-5.6,
Tunisia,-3.1,-2.6,-2.7,-107.45,-121.68,-130.16,-108.85,-85.86,-26.25,-54.46,-40.72,-91.48,-100.83,-5.6,-4.8,-4.8,-6.1,-6.0,-4.9,-4.0,-9.3,-7.4,-6.7,-6.3,
Ukraine,-28.57,-38.08,15.43,-8.69,-146.84,-60.05,-43.42,-34.05,-54.26,-190.57,-176.11,-57.94,-81.18,-4.8,-4.5,-1.2,-2.2,-1.4,-1.7,-1.8,-5.3,-3.4,-16.0,-20.5,
Sri Lanka,-403.12,-448.38,-356.36,-302.65,-324.18,-307.75,-289.42,-254.31,-229.9,-223.02,-173.27,-155.36,-115.87,-5.9,-6.5,-7.6,-5.4,-5.5,-5.3,-9.6,-11.1,-12.2,-10.6,-8.4,
