Component,Variance_Explained,Cumulative_Variance
PC1,0.24155956276947968,0.24155956276947968
PC2,0.1751355612746578,0.41669512404413744
PC3,0.147200388668553,0.5638955127126904
PC4,0.13861365371751228,0.7025091664302028
PC5,0.09878009517972099,0.8012892616099238
PC6,0.0815012379864395,0.8827904995963632
PC7,0.06887201067801552,0.9516625102743788
PC8,0.04833748972562138,1.0000000000000002
